ngram,adasen,bikolano,cebuano,chavacano,english,ilokano,ilonggo,kinaray-a,masbatenyo,paranan,romblomanon,spanish,tagalog,tausug,waray,yami
ing,-1.1990231841554295e-14,-2.1695307389316186e-14,-3.1728081196520744e-14,-1.4337190438738635e-15,-3.195636091259138e-14,-7.109025823583612e-15,-3.219097589816467e-14,-5.350683815762775e-15,-3.688281165425623e-15,-4.210184600192611e-15,-3.908996965234699e-14,-6.525915319368293e-16,-3.186275118949592e-14,-7.22620136909896e-15,-2.0305353884994974e-14,-3.302461629005427e-14
icr,1.1151218237700495e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cse,5.575609118850247e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gan,-1.3712099516913768e-14,-2.091800736342508e-14,-1.1787064361609001e-14,-1.28632736646627e-15,-1.1039470133440659e-15,-1.2370408796978411e-14,-1.0633009700014298e-14,-1.0221550876307694e-14,-7.036852223509412e-15,-1.0735970730491159e-14,-1.1702386666182558e-14,-9.177068417861661e-16,-1.0615353460722578e-14,-7.950091488674778e-15,-4.794540166746272e-14,-8.313568217663174e-15
ato,2.0408159411911933e-05,0.0001553707649649604,0.0001362791024589687,4.036550857791968e-05,0.0,6.165717387788104e-05,0.0001135892557883032,8.97780880189621e-05,0.00013582908150761543,4.4976140242457456e-05,9.46222595295228e-05,2.0914319239176503e-05,6.3119223859133e-05,0.0,0.00019096749572887134,0.00011318132496579804
wli,2.5090241035127755e-05,0.0,0.0,0.0,0.0,1.7564037617658588e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idg,2.230243647540099e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rge,2.6852841331463076e-07,3.690516982540627e-07,3.5123480015198116e-07,5.725604053605628e-07,1.4069003250669076e-05,2.255750263824916e-06,3.282926467870035e-07,6.21301647190049e-07,3.456210725384616e-07,1.38388123822946e-06,3.285495122552875e-07,4.357149841495105e-06,3.566057845148757e-07,0.0,3.391962623958639e-07,0.0
rdo,0.0,7.950906173555786e-07,7.567056198650826e-07,4.194011810013471e-05,0.0,8.099704722262977e-07,7.072786941288708e-07,1.3385417613992402e-06,7.44611319323952e-07,7.453637208933717e-07,7.078320890183169e-07,0.0001370518087766738,7.682769506382611e-07,0.0,7.307696101898735e-07,0.0
z_r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.785249674937874e-06,0.0,0.0,0.0,5.09403602947945e-06
